Symbol,ltp,%Change,Open,High,Low,Qty,PClose,Diff
GUFL,506.00,0.48,504.00,511.00,504.00,"9,819",503.60,2.4
GVL,479.00,1.35,475.00,479.00,470.00,"7,893",472.60,6.4
H8020,12.00,3.27,11.96,13.18,11.90,"3,678,997",11.62,0.38
HATHY,609.00,0,607.00,609.00,595.10,"7,502",609.00,0
HBL,187.60,0.05,185.00,187.90,184.00,"34,664",187.50,0.1
HDHPC,198.30,-0.2,200.90,201.70,198.00,"51,411",198.70,-0.4
HDL,"1,170.30",0.54,"1,164.00","1,178.90","1,162.00","16,547","1,164.00",6.3
HEI,464.70,-0.21,474.00,474.00,452.00,"14,341",465.70,-1
HEIP,303.40,1.07,308.80,312.50,303.40,"2,155",300.20,3.2
HFIN,622.90,0.79,615.00,630.00,613.60,"28,307",618.00,4.9
HHL,319.90,-0.03,321.00,323.00,316.50,"10,206",320.00,-0.1
HIDCL,239.00,-0.17,239.60,241.00,237.40,"29,189",239.40,-0.4
HIDCLP,179.50,-0.66,180.00,181.00,179.00,"30,426",180.70,-1.2
HIMSTAR,632.00,-1.02,654.00,654.00,626.10,"2,279",638.50,-6.5
HLBSL,855.00,-0.45,841.20,855.00,841.20,226,858.90,-3.9
HLI,295.00,0.68,296.00,297.80,293.20,"20,749",293.00,2
HLICF,8.31,0.12,8.50,8.54,8.30,"1,000",8.30,0.01
HPPL,363.10,-0.19,367.00,367.00,363.10,"41,254",363.80,-0.7
HRL,519.90,0.17,515.00,524.00,515.00,"41,825",519.00,0.9
HURJA,228.00,-0.87,232.00,232.00,225.00,"36,438",230.00,-2
ICFC,585.00,0.24,585.50,586.50,584.00,"3,923",583.60,1.4
ICFCD83,868.40,2.99,843.20,843.20,843.20,1,843.20,25.2
ICFCD88,"1,105.10",-1.66,"1,105.10","1,105.10","1,105.10",25,"1,123.80",-18.7
IGI,377.00,-0.82,380.10,384.00,375.10,"5,529",380.10,-3.1
IHL,304.00,1.5,299.00,305.00,295.00,"5,362",299.50,4.5
ILBS,837.00,0.97,800.00,844.00,800.00,"1,697",829.00,8
ILI,404.90,1.56,400.00,408.90,399.00,"9,663",398.70,6.2
JBBD87,"1,170.00",3.27,"1,154.90","1,170.00","1,154.90",435,"1,133.00",37
JBBL,325.00,-0.61,325.00,329.90,318.00,"24,532",327.00,-2
JBLB,"1,248.10",-0.07,"1,248.00","1,251.00","1,245.00","1,790","1,249.00",-0.9
JFL,368.90,-0.3,370.00,370.00,361.20,"6,967",370.00,-1.1
JHAPA,"1,012.00",-0.74,"1,010.00","1,029.90","1,010.00","1,683","1,019.50",-7.5
JOSHI,256.00,-1.12,257.00,257.00,253.00,"9,860",258.90,-2.9
JSLBB,949.80,2.68,925.00,949.80,925.00,40,925.00,24.8
KAHL,490.00,1.24,480.00,495.00,480.00,"18,961",484.00,6
KBL,213.00,0.09,212.80,213.70,210.00,"153,621",212.80,0.2
KBLD86,"1,143.30",3,"1,110.00","1,110.00","1,110.00",8,"1,110.00",33.3
KBLD89,"1,280.00",1.59,"1,280.00","1,280.00","1,280.00",280,"1,260.00",20
KBSH,802.00,1.39,803.00,804.00,779.00,"11,658",791.00,11
KDBY,9.82,0.1,10.00,10.09,9.81,"143,900",9.81,0.01
KDL,740.00,1.37,730.00,747.90,730.00,420,730.00,10
KEF,9.70,0,9.50,9.70,9.45,"8,800",9.70,0
KHPL,740.10,0.28,738.00,750.50,730.00,"6,607",738.00,2.1
KKHC,264.10,-0.71,253.00,269.90,253.00,"60,972",266.00,-1.9
KMCDB,772.00,1.18,735.00,875.00,735.00,"9,805",763.00,9
KPCL,447.10,0.02,447.20,450.90,445.60,"3,101",447.00,0.1
KSBBL,463.00,-3.54,475.00,475.00,463.00,"27,883",480.00,-17
LBBL,482.80,1.05,473.00,483.90,470.70,"17,558",477.80,5
LEC,210.00,-0.1,210.50,212.70,209.50,"71,132",210.20,-0.2
LICN,754.00,-0.76,759.80,759.80,750.00,"9,370",759.80,-5.8
LLBS,846.10,-1.39,879.00,879.00,840.00,388,858.00,-11.9
LSH12,9.01,0.11,9.00,9.10,9.00,"2,000",9.00,0.01
LSL,223.00,0.9,221.30,225.00,221.30,"78,161",221.00,2
LUK,9.40,-3.09,9.41,9.41,9.13,300,9.70,-0.3
LVF2,9.27,0,9.01,9.27,8.76,"5,700",9.27,0
MABEL,564.00,1.26,550.00,565.80,550.00,"3,709",557.00,7
MAKAR,406.50,0.59,411.00,413.80,405.00,"103,617",404.10,2.4
MANDU,677.00,1.65,665.00,677.00,655.00,"5,408",666.00,11
MATRI,716.20,0.17,706.60,720.00,706.60,269,715.00,1.2
MBJC,274.00,2.89,267.90,276.00,263.50,"62,315",266.30,7.7
MBL,246.00,0.49,242.20,248.80,242.20,"106,970",244.80,1.2
MBLD87,"1,127.00",0,"1,127.00","1,127.00","1,127.00",65,"1,127.00",0
MBLEF,9.13,1,9.07,9.31,9.07,"14,893",9.04,0.09
MCHL,253.00,-0.47,248.00,260.90,241.70,"5,221",254.20,-1.2
MDB,553.00,-0.09,554.30,559.90,553.00,"7,670",553.50,-0.5
MEHL,227.00,-1.3,230.00,232.90,225.00,"78,734",230.00,-3
MEL,200.50,1.47,197.50,200.50,197.50,"6,981",197.60,2.9
MEN,627.10,0.85,621.00,632.80,620.50,"159,060",621.80,5.3
MEPDL,660.00,6.45,618.40,660.00,611.10,"24,744",620.00,40
MERO,606.00,-0.62,609.80,609.80,600.00,"1,110",609.80,-3.8
MFIL,730.00,1.53,725.00,795.00,705.50,"15,417",719.00,11
MFLD85,"1,105.00",0,"1,105.00","1,105.00","1,105.00",75,"1,105.00",0
MHCL,285.00,0.35,276.00,285.00,276.00,"1,155",284.00,1
MHL,445.00,0.38,442.50,447.80,440.00,"1,354",443.30,1.7
MHNL,235.50,-0.59,235.00,236.80,232.00,"2,318",236.90,-1.4
MKCL,899.90,4.64,861.00,899.90,856.10,"1,680",860.00,39.9
MKHC,269.60,7.84,255.00,269.80,254.00,"64,064",250.00,19.6
MKHL,494.00,1.46,487.00,515.00,477.30,"2,969",486.90,7.1
MKJC,290.00,-2.49,295.00,299.00,286.00,"47,203",297.40,-7.4
MLBBL,925.00,-0.22,916.10,927.80,915.00,867,927.00,-2
MLBL,344.00,0.06,340.00,344.40,340.00,"5,673",343.80,0.2
MLBLD89,"1,287.50",3,"1,287.50","1,287.50","1,287.50",25,"1,250.00",37.5
MLBS,995.00,0.07,995.00,"1,008.00",995.00,603,994.30,0.7
MLBSL,"1,055.00",1.74,"1,060.00","1,060.00","1,044.00","1,070","1,037.00",18
MMF1,8.77,-1.46,8.64,8.89,8.64,"5,641",8.90,-0.13
MMKJL,368.90,-3.28,388.00,388.00,364.00,"8,438",381.40,-12.5
MNBBL,356.90,0.56,356.00,357.50,355.00,"28,287",354.90,2
MND84/85,"1,052.00",-0.02,"1,052.00","1,052.00","1,052.00",65,"1,052.20",-0.2
MNMF1,9.00,-1.32,9.05,9.20,9.00,"2,100",9.12,-0.12
MPFL,589.60,0.77,594.90,594.90,585.10,"2,316",585.10,4.5
MSHL,534.00,2.3,510.00,535.00,510.00,517,522.00,12
MSLB,"1,196.00",-1.16,"1,200.10","1,200.10","1,175.00",928,"1,210.00",-14
NABBC,732.00,0.51,728.00,740.00,720.00,"8,368",728.30,3.7
NABIL,539.00,0.28,540.00,540.00,537.50,"21,616",537.50,1.5
NADEP,685.00,-1.82,695.00,699.70,685.00,303,697.70,-12.7
NBF2,9.80,0,9.75,9.80,9.73,"1,600",9.80,0
NBF3,9.54,4.72,9.11,9.54,9.11,"7,800",9.11,0.43
NBL,275.90,0.66,275.10,276.80,272.40,"90,624",274.10,1.8
NBLD87,"1,065.10",-1.38,"1,065.10","1,065.10","1,065.10",25,"1,080.00",-14.9
